"ID"	"DAM"	"SIRE"	"SEX"	"COHORT"
"ELF_666"	"ELF_357"	"ELF_269"	"2"	"2011"
"ELF_667"	"ELF_529"	"ELF_276"	"1"	"2013"
"ELF_668"	"ELF_524"	"ELF_153"	"1"	"2013"
"ELF_669"	"F0028"	"M0043"	"1"	"*"
"ELF_67"	"ELF_37"	"M0058"	"1"	"2002"
"ELF_670"	"ELF_527"	"ELF_370"	"1"	"2013"
"ELF_671"	"F0036"	"M0036"	"2"	"1998"
"ELF_672"	"F0011"	"M0039"	"1"	"2000"
"ELF_673"	"F0028"	"M0043"	"1"	"*"
"ELF_674"	"ELF_7"	"ELF_352"	"2"	"*"
"ELF_675"	"ELF_140"	"M0023"	"1"	"2013"
"ELF_676"	"ELF_125"	"M0006"	"2"	"2013"
"ELF_677"	"F0028"	"M0030"	"2"	"2013"
"ELF_678"	"ELF_88"	"M0031"	"2"	"2013"
"ELF_679"	"F0038"	"ELF_49"	"2"	"2013"
"ELF_680"	"ELF_509"	"ELF_131"	"1"	"2013"
"ELF_681"	"ELF_65"	"ELF_392"	"2"	"2014"
"ELF_682"	"ELF_65"	"ELF_392"	"2"	"2014"
"ELF_683"	"ELF_65"	"ELF_392"	"1"	"2014"
"ELF_684"	"ELF_65"	"ELF_392"	"1"	"2014"
"ELF_685"	"ELF_65"	"ELF_392"	"2"	"2014"
"ELF_686"	"ELF_65"	"ELF_392"	"2"	"2014"
"ELF_687"	"ELF_661"	"ELF_508"	"1"	"2014"
"ELF_688"	"ELF_661"	"ELF_508"	"1"	"2014"
"ELF_689"	"ELF_661"	"ELF_508"	"1"	"2014"
"ELF_69"	"F0026"	"ELF_49"	"1"	"2004"
"ELF_690"	"ELF_661"	"ELF_508"	"1"	"2014"
"ELF_691"	"ELF_661"	"ELF_508"	"2"	"2014"
"ELF_692"	"ELF_661"	"ELF_508"	"2"	"2014"
"ELF_693"	"ELF_661"	"ELF_508"	"1"	"2014"
"ELF_696"	"ELF_152"	"ELF_273"	"1"	"2014"
"ELF_697"	"ELF_152"	"ELF_273"	"1"	"2014"
"ELF_698"	"ELF_152"	"ELF_273"	"2"	"2014"
"ELF_699"	"ELF_152"	"ELF_273"	"1"	"2014"
"ELF_7"	"F0022"	"M0042"	"1"	"2001"
"ELF_70"	"F0036"	"*"	"1"	"2000"
"ELF_700"	"ELF_152"	"ELF_273"	"1"	"2014"
"ELF_701"	"ELF_152"	"ELF_273"	"2"	"2014"
"ELF_702"	"ELF_152"	"ELF_273"	"1"	"2014"
"ELF_703"	"ELF_152"	"ELF_273"	"1"	"2014"
"ELF_704"	"ELF_152"	"ELF_273"	"1"	"2014"
"ELF_705"	"ELF_152"	"ELF_273"	"2"	"2014"
"ELF_706"	"ELF_152"	"ELF_273"	"2"	"2014"
"ELF_708"	"ELF_669"	"M0011"	"2"	"2014"
"ELF_709"	"ELF_669"	"M0011"	"1"	"2014"
"ELF_710"	"ELF_669"	"M0011"	"1"	"2014"
"ELF_711"	"ELF_669"	"M0011"	"2"	"2014"
"ELF_712"	"ELF_669"	"M0011"	"2"	"2014"
"ELF_713"	"ELF_669"	"M0011"	"1"	"2014"
"ELF_714"	"ELF_669"	"M0011"	"2"	"2014"
"ELF_715"	"ELF_669"	"M0011"	"2"	"2014"
"ELF_716"	"ELF_383"	"ELF_148"	"1"	"2014"
"ELF_717"	"ELF_383"	"M0018"	"1"	"2014"
"ELF_718"	"ELF_383"	"ELF_148"	"1"	"2014"
"ELF_719"	"ELF_383"	"ELF_148"	"2"	"2014"
"ELF_720"	"ELF_383"	"M0018"	"1"	"2014"
"ELF_721"	"ELF_383"	"ELF_148"	"1"	"2014"
"ELF_722"	"ELF_383"	"M0018"	"2"	"2014"
"ELF_723"	"ELF_383"	"M0018"	"2"	"2014"
"ELF_724"	"ELF_361"	"M0030"	"2"	"2014"
"ELF_725"	"ELF_361"	"M0030"	"1"	"2014"
"ELF_726"	"ELF_361"	"M0030"	"1"	"2014"
"ELF_727"	"ELF_361"	"M0030"	"2"	"2014"
"ELF_728"	"ELF_361"	"M0030"	"1"	"2014"
"ELF_729"	"ELF_361"	"M0030"	"2"	"2014"
"ELF_730"	"ELF_361"	"M0030"	"2"	"2014"
"ELF_731"	"ELF_139"	"ELF_539"	"2"	"2014"
"ELF_732"	"ELF_139"	"ELF_539"	"1"	"2014"
"ELF_733"	"ELF_139"	"ELF_539"	"1"	"2014"
"ELF_734"	"ELF_139"	"ELF_539"	"1"	"2014"
"ELF_735"	"ELF_139"	"ELF_539"	"1"	"2014"
"ELF_736"	"ELF_139"	"ELF_539"	"2"	"2014"
"ELF_737"	"ELF_139"	"ELF_539"	"1"	"2014"
"ELF_738"	"ELF_139"	"ELF_539"	"1"	"2014"
"ELF_739"	"ELF_380"	"ELF_150"	"1"	"2014"
"ELF_740"	"ELF_380"	"ELF_150"	"2"	"2014"
"ELF_741"	"ELF_380"	"ELF_150"	"1"	"2014"
"ELF_742"	"ELF_380"	"ELF_150"	"1"	"2014"
"ELF_743"	"ELF_380"	"ELF_150"	"1"	"2014"
"ELF_744"	"ELF_380"	"ELF_150"	"1"	"2014"
"ELF_745"	"ELF_380"	"ELF_150"	"2"	"2014"
"ELF_746"	"ELF_380"	"ELF_150"	"1"	"2014"
"ELF_747"	"ELF_380"	"ELF_150"	"2"	"2014"
"ELF_748"	"ELF_380"	"ELF_150"	"2"	"2014"
"ELF_749"	"ELF_380"	"ELF_150"	"1"	"2014"
"ELF_750"	"ELF_380"	"ELF_150"	"1"	"2014"
"ELF_751"	"F0028"	"M0030"	"1"	"2013"
"ELF_752"	"F0028"	"M0030"	"2"	"2013"
"ELF_753"	"ELF_662"	"ELF_150"	"2"	"2014"
"ELF_754"	"ELF_662"	"ELF_150"	"2"	"2014"
"ELF_756"	"ELF_662"	"ELF_150"	"1"	"2014"
"ELF_757"	"ELF_662"	"ELF_150"	"2"	"2014"
"ELF_758"	"ELF_662"	"ELF_150"	"1"	"2014"
"ELF_759"	"ELF_185"	"ELF_379"	"1"	"2014"
"ELF_760"	"ELF_185"	"ELF_379"	"2"	"2014"
"ELF_761"	"ELF_185"	"ELF_379"	"1"	"2014"
"ELF_762"	"ELF_185"	"ELF_379"	"1"	"2014"
"ELF_764"	"ELF_185"	"ELF_379"	"1"	"2014"
"ELF_765"	"ELF_185"	"ELF_379"	"1"	"2014"
"ELF_767"	"ELF_185"	"ELF_379"	"1"	"2014"
"ELF_768"	"ELF_185"	"ELF_379"	"1"	"2014"
"ELF_769"	"ELF_185"	"ELF_379"	"2"	"2014"
"ELF_770"	"ELF_185"	"ELF_379"	"1"	"2014"
"ELF_771"	"ELF_662"	"ELF_150"	"1"	"2014"
"ELF_772"	"ELF_67"	"ELF_350"	"2"	"2014"
"ELF_773"	"ELF_67"	"ELF_350"	"1"	"2014"
"ELF_774"	"ELF_357"	"ELF_269"	"2"	"2011"
"ELF_775"	"ELF_58"	"M0019"	"1"	"2014"
"ELF_776"	"ELF_69"	"ELF_406"	"1"	"2014"
"ELF_777"	"ELF_58"	"M0019"	"2"	"2014"
"ELF_778"	"ELF_213"	"ELF_150"	"2"	"2014"
"ELF_779"	"ELF_213"	"ELF_150"	"2"	"2014"
"ELF_78"	"F0027"	"M0048"	"1"	"2003"
"ELF_780"	"ELF_7"	"ELF_352"	"2"	"2010"
"ELF_781"	"ELF_69"	"ELF_406"	"1"	"2014"
"ELF_782"	"ELF_673"	"M0046"	"2"	"2014"
"ELF_783"	"ELF_213"	"ELF_150"	"1"	"2014"
"ELF_784"	"ELF_344"	"M0030"	"2"	"2013"
"ELF_786"	"ELF_123"	"M0016"	"2"	"*"
"ELF_787"	"ELF_359"	"ELF_131"	"1"	"2014"
"ELF_788"	"ELF_67"	"M0016"	"2"	"*"
"ELF_789"	"F0018"	"M0040"	"2"	"2014"
"ELF_790"	"ELF_359"	"ELF_131"	"1"	"2014"
"ELF_792"	"ELF_78"	"ELF_142"	"1"	"2013"
"ELF_793"	"ELF_660"	"ELF_501"	"2"	"2014"
"ELF_794"	"ELF_660"	"ELF_501"	"1"	"2014"
"ELF_795"	"ELF_344"	"M0030"	"2"	"2013"
"ELF_796"	"ELF_186"	"ELF_229"	"1"	"2014"
"ELF_797"	"ELF_70"	"M0037"	"1"	"*"
"ELF_799"	"ELF_186"	"ELF_229"	"1"	"2014"
"ELF_8"	"F0032"	"*"	"2"	"*"
"ELF_800"	"F0018"	"M0040"	"1"	"2014"
"ELF_801"	"ELF_7"	"M0040"	"1"	"2014"
"ELF_802"	"F0028"	"M0043"	"1"	"2003"
"ELF_804"	"F0018"	"M0040"	"2"	"2014"
"ELF_805"	"ELF_58"	"M0019"	"2"	"2014"
"ELF_806"	"ELF_67"	"ELF_350"	"2"	"2014"
"ELF_807"	"ELF_652"	"ELF_379"	"1"	"2014"
"ELF_808"	"ELF_359"	"ELF_131"	"2"	"2014"
"ELF_81"	"ELF_78"	"ELF_45"	"2"	"2010"
"ELF_810"	"ELF_157"	"M0017"	"2"	"*"
"ELF_811"	"ELF_58"	"M0019"	"1"	"2014"
"ELF_812"	"F0012"	"M0026"	"1"	"*"
"ELF_813"	"ELF_527"	"ELF_370"	"2"	"2012"
"ELF_814"	"ELF_249"	"ELF_653"	"1"	"2014"
"ELF_815"	"ELF_99"	"M0013"	"2"	"*"
"ELF_816"	"F0028"	"M0043"	"2"	"2004"
"ELF_817"	"ELF_58"	"M0019"	"1"	"2014"
"ELF_818"	"ELF_329"	"ELF_350"	"1"	"2012"
"ELF_819"	"ELF_529"	"ELF_276"	"2"	"2011"
"ELF_820"	"ELF_111"	"ELF_212"	"2"	"2014"
"ELF_821"	"ELF_326"	"M0060"	"1"	"*"
"ELF_822"	"ELF_672"	"ELF_49"	"1"	"2011"
"ELF_823"	"ELF_99"	"ELF_336"	"1"	"2015"
"ELF_825"	"ELF_78"	"ELF_142"	"2"	"2009"
"ELF_826"	"ELF_359"	"M0024"	"1"	"*"
"ELF_827"	"ELF_486"	"ELF_828"	"2"	"2015"
"ELF_828"	"ELF_357"	"ELF_269"	"2"	"2010"
"ELF_829"	"ELF_161"	"ELF_29"	"1"	"2013"
"ELF_830"	"ELF_200"	"ELF_671"	"1"	"2009"
"ELF_833"	"ELF_846"	"M0040"	"1"	"2013"
"ELF_834"	"ELF_135"	"M0038"	"1"	"2015"
"ELF_835"	"ELF_355"	"ELF_150"	"1"	"2015"
"ELF_836"	"ELF_536"	"*"	"1"	"2015"
"ELF_837"	"ELF_249"	"ELF_653"	"1"	"2013"
"ELF_838"	"ELF_111"	"ELF_212"	"1"	"2013"
"ELF_84"	"F0040"	"*"	"2"	"*"
"ELF_840"	"ELF_382"	"ELF_512"	"2"	"2015"
"ELF_841"	"ELF_524"	"ELF_153"	"2"	"*"
"ELF_842"	"*"	"*"	"2"	"*"
"ELF_843"	"ELF_67"	"ELF_350"	"1"	"2013"
"ELF_844"	"ELF_300"	"ELF_518"	"2"	"2015"
"ELF_845"	"ELF_69"	"ELF_406"	"2"	"2013"
"ELF_846"	"ELF_65"	"M0016"	"1"	"2002"
"ELF_847"	"ELF_152"	"M0009"	"2"	"*"
"ELF_848"	"ELF_183"	"ELF_148"	"1"	"2015"
"ELF_849"	"F0028"	"M0030"	"1"	"*"
"ELF_850"	"F0001"	"ELF_347"	"1"	"*"
"ELF_851"	"ELF_523"	"ELF_277"	"1"	"2013"
"ELF_852"	"ELF_69"	"ELF_406"	"1"	"2013"
"ELF_853"	"ELF_300"	"ELF_518"	"1"	"2015"
"ELF_854"	"F0028"	"M0030"	"2"	"*"
"ELF_855"	"ELF_802"	"ELF_533"	"1"	"2015"
"ELF_856"	"ELF_175"	"ELF_156"	"2"	"2015"
"ELF_857"	"*"	"*"	"1"	"2015"
"ELF_858"	"ELF_302"	"M0040"	"2"	"2015"
"ELF_859"	"ELF_524"	"ELF_61"	"2"	"2015"
"ELF_86"	"*"	"M0023"	"1"	"2010"
"ELF_860"	"ELF_175"	"ELF_156"	"1"	"2015"
"ELF_861"	"ELF_672"	"ELF_49"	"1"	"2011"
"ELF_862"	"ELF_161"	"ELF_29"	"2"	"2013"
"ELF_863"	"ELF_673"	"M0046"	"1"	"*"
"ELF_864"	"ELF_346"	"M0020"	"1"	"2012"
"ELF_865"	"*"	"*"	"2"	"2016"
"ELF_866"	"ELF_185"	"ELF_533"	"1"	"2016"
"ELF_868"	"ELF_822"	"ELF_224"	"1"	"2016"
"ELF_869"	"ELF_7"	"M0040"	"2"	"*"
"ELF_870"	"ELF_65"	"ELF_350"	"1"	"2016"
"ELF_871"	"ELF_158"	"M0040"	"2"	"*"
"ELF_872"	"ELF_524"	"ELF_61"	"1"	"2014"
"ELF_873"	"ELF_359"	"M0014"	"1"	"2016"
"ELF_874"	"ELF_652"	"*"	"1"	"2016"
"ELF_875"	"ELF_826"	"ELF_786"	"1"	"2016"
"ELF_876"	"F0018"	"ELF_352"	"2"	"2016"
"ELF_877"	"ELF_669"	"ELF_202"	"1"	"2016"
"ELF_878"	"ELF_135"	"M0038"	"1"	"2014"
"ELF_879"	"ELF_175"	"ELF_156"	"2"	"2014"
"ELF_88"	"F0004"	"M0057"	"1"	"2010"
"ELF_880"	"ELF_67"	"ELF_350"	"1"	"2010"
"ELF_881"	"ELF_584"	"ELF_224"	"1"	"2016"
"ELF_882"	"ELF_529"	"ELF_153"	"1"	"2011"
"ELF_883"	"F0039"	"ELF_153"	"1"	"2016"
"ELF_884"	"ELF_58"	"ELF_516"	"1"	"2016"
"ELF_885"	"ELF_152"	"M0009"	"1"	"*"
"ELF_886"	"ELF_382"	"ELF_512"	"1"	"2014"
"ELF_887"	"ELF_7"	"M0040"	"1"	"*"
"ELF_888"	"ELF_78"	"ELF_406"	"1"	"2014"
"ELF_889"	"ELF_158"	"ELF_276"	"1"	"2017"
"ELF_890"	"*"	"*"	"2"	"*"
"ELF_891"	"ELF_300"	"ELF_518"	"1"	"2015"
"ELF_894"	"F0017"	"M0001"	"1"	"*"
"ELF_895"	"ELF_78"	"ELF_406"	"1"	"2010"
"ELF_896"	"ELF_225"	"ELF_96"	"1"	"2017"
"ELF_897"	"ELF_161"	"ELF_29"	"1"	"2009"
"ELF_898"	"ELF_673"	"M0046"	"2"	"*"
"ELF_899"	"ELF_368"	"ELF_352"	"1"	"2012"
"ELF_90"	"ELF_39"	"ELF_130"	"1"	"2010"
"ELF_900"	"ELF_69"	"ELF_392"	"1"	"2015"
"ELF_901"	"ELF_152"	"ELF_816"	"1"	"2015"
"ELF_902"	"ELF_66"	"ELF_224"	"1"	"2012"
"ELF_903"	"ELF_66"	"ELF_666"	"1"	"2014"
"ELF_904"	"ELF_58"	"ELF_813"	"1"	"2018"
"ELF_905"	"ELF_158"	"ELF_352"	"1"	"2010"
"ELF_906"	"ELF_529"	"ELF_276"	"1"	"2011"
"ELF_907"	"ELF_802"	"ELF_533"	"1"	"2012"
"ELF_908"	"ELF_135"	"M0038"	"2"	"*"
"ELF_909"	"ELF_717"	"ELF_409"	"2"	"2018"
"ELF_910"	"ELF_355"	"ELF_150"	"1"	"2012"
"ELF_911"	"ELF_660"	"ELF_29"	"1"	"2016"
"ELF_912"	"ELF_316"	"ELF_645"	"1"	"2014"
"ELF_913"	"ELF_355"	"ELF_540"	"2"	"2016"
"ELF_914"	"ELF_344"	"ELF_156"	"2"	"2012"
"ELF_915"	"ELF_65"	"ELF_350"	"2"	"2016"
"ELF_916"	"*"	"M0002"	"1"	"*"
"ELF_919"	"ELF_249"	"ELF_350"	"1"	"2012"
"ELF_92"	"F0030"	"M0047"	"2"	"*"
"ELF_920"	"F0017"	"M0001"	"2"	"*"
"ELF_921"	"ELF_65"	"ELF_350"	"1"	"2010"
"ELF_922"	"*"	"*"	"1"	"*"
"ELF_923"	"ELF_652"	"ELF_313"	"1"	"2012"
"ELF_924"	"ELF_359"	"M0014"	"1"	"*"
"ELF_925"	"ELF_88"	"M0038"	"1"	"*"
"ELF_926"	"ELF_818"	"M0061"	"1"	"2015"
"ELF_927"	"ELF_316"	"ELF_645"	"1"	"2014"
"ELF_928"	"ELF_302"	"M0040"	"1"	"*"
"ELF_929"	"ELF_846"	"M0060"	"2"	"*"
"ELF_930"	"ELF_187"	"M0003"	"2"	"*"
"ELF_94"	"ELF_39"	"ELF_130"	"2"	"2010"
"ELF_96"	"ELF_67"	"M0016"	"2"	"2010"
"ELF_98"	"ELF_37"	"M0013"	"2"	"*"
"ELF_99"	"F0030"	"M0047"	"1"	"*"
"F0001"	"*"	"*"	NA	"*"
"F0002"	"ELF_66"	"ELF_142"	NA	"*"
"F0003"	"*"	"*"	NA	"*"
"F0004"	"*"	"*"	NA	"*"
"F0005"	"*"	"*"	NA	"*"
"F0006"	"*"	"*"	NA	"*"
"F0007"	"ELF_36"	"M0021"	NA	"*"
"F0008"	"F0013"	"*"	NA	"*"
"F0009"	"*"	"*"	NA	"*"
"F0010"	"*"	"*"	NA	"*"
"F0011"	"F0040"	"*"	NA	"*"
"F0012"	"F0006"	"M0049"	NA	"*"
"F0013"	"*"	"*"	NA	"*"
"F0014"	"*"	"*"	NA	"*"
"F0015"	"*"	"*"	NA	"*"
"F0016"	"*"	"*"	NA	"*"
"F0017"	"F0009"	"M0032"	NA	"*"
"F0018"	"*"	"M0037"	NA	"*"
"F0019"	"*"	"*"	NA	"*"
"F0020"	"*"	"*"	NA	"*"
"F0021"	"*"	"M0012"	NA	"*"
"F0022"	"*"	"*"	NA	"*"
"F0023"	"*"	"*"	NA	"*"
"F0024"	"*"	"*"	NA	"*"
"F0025"	"*"	"*"	NA	"*"
"F0026"	"*"	"*"	NA	"*"
"F0027"	"*"	"*"	NA	"*"
"F0028"	"*"	"*"	NA	"*"
"F0029"	"*"	"*"	NA	"*"
"F0030"	"*"	"*"	NA	"*"
"F0031"	"*"	"*"	NA	"*"
"F0032"	"*"	"*"	NA	"*"
"F0033"	"*"	"*"	NA	"*"
"F0034"	"*"	"*"	NA	"*"
"F0035"	"*"	"*"	NA	"*"
"F0036"	"*"	"*"	NA	"*"
"F0037"	"*"	"ELF_151"	NA	"*"
"F0038"	"F0032"	"ELF_49"	NA	"*"
"F0039"	"ELF_318"	"ELF_165"	NA	"*"
"F0040"	"*"	"*"	NA	"*"
"F0041"	"*"	"*"	NA	"*"
"F0042"	"F0001"	"*"	NA	"*"
"M0001"	"F0034"	"M0037"	NA	"*"
"M0002"	"ELF_326"	"M0008"	NA	"*"
"M0003"	"*"	"*"	NA	"*"
"M0004"	"F0036"	"M0049"	NA	"*"
"M0005"	"ELF_34"	"*"	NA	"*"
"M0006"	"F0034"	"M0054"	NA	"*"
"M0007"	"*"	"*"	NA	"*"
"M0008"	"ELF_155"	"*"	NA	"*"
"M0009"	"F0041"	"M0044"	NA	"*"
"M0010"	"*"	"ELF_306"	NA	"*"
"M0011"	"ELF_39"	"ELF_130"	NA	"*"
"M0012"	"*"	"*"	NA	"*"
"M0013"	"*"	"ELF_49"	NA	"*"
"M0014"	"ELF_359"	"M0024"	NA	"*"
"M0015"	"*"	"*"	NA	"*"
"M0016"	"*"	"*"	NA	"*"
"M0017"	"*"	"*"	NA	"*"
"M0018"	"F0006"	"ELF_195"	NA	"*"
"M0019"	"ELF_70"	"M0037"	NA	"*"
"M0020"	"ELF_64"	"ELF_179"	NA	"*"
"M0021"	"*"	"*"	NA	"*"
"M0022"	"*"	"*"	NA	"*"
"M0023"	"ELF_200"	"M0021"	NA	"*"
"M0024"	"*"	"*"	NA	"*"
"M0025"	"ELF_59"	"ELF_130"	NA	"*"
"M0026"	"F0001"	"M0034"	NA	"*"
"M0027"	"*"	"ELF_30"	NA	"*"
"M0028"	"*"	"*"	NA	"*"
"M0029"	"*"	"*"	NA	"*"
"M0030"	"*"	"*"	NA	"*"
"M0031"	"*"	"M0037"	NA	"*"
"M0032"	"*"	"*"	NA	"*"
"M0033"	"*"	"*"	NA	"*"
"M0034"	"*"	"*"	NA	"*"
"M0035"	"F0033"	"ELF_45"	NA	"*"
"M0036"	"*"	"*"	NA	"*"
"M0037"	"*"	"*"	NA	"*"
"M0038"	"ELF_321"	"M0030"	NA	"*"
"M0039"	"*"	"*"	NA	"*"
"M0040"	"F0031"	"M0034"	NA	"*"
"M0041"	"*"	"*"	NA	"*"
"M0042"	"*"	"*"	NA	"*"
"M0043"	"*"	"ELF_130"	NA	"*"
"M0044"	"*"	"*"	NA	"*"
"M0045"	"*"	"*"	NA	"*"
"M0046"	"ELF_326"	"M0008"	NA	"*"
"M0047"	"*"	"*"	NA	"*"
"M0048"	"*"	"*"	NA	"*"
"M0049"	"*"	"*"	NA	"*"
"M0050"	"*"	"*"	NA	"*"
"M0051"	"*"	"*"	NA	"*"
"M0052"	"*"	"*"	NA	"*"
"M0053"	"*"	"*"	NA	"*"
"M0054"	"*"	"*"	NA	"*"
"M0055"	"*"	"*"	NA	"*"
"M0056"	"ELF_70"	"M0045"	NA	"*"
"M0057"	"*"	"*"	NA	"*"
"M0058"	"ELF_123"	"*"	NA	"*"
"M0059"	"*"	"*"	NA	"*"
"M0060"	"*"	"*"	NA	"*"
"M0061"	"ELF_99"	"M0013"	NA	"*"
"M0062"	"*"	"*"	NA	"*"
