"ID"	"DAM"	"SIRE"	"SEX"	"COHORT"
"ELF_338"	"F0034"	"M0054"	"1"	"*"
"ELF_339"	"F0012"	"M0026"	"2"	"2011"
"ELF_34"	"F0029"	"M0051"	"1"	"*"
"ELF_340"	"F0012"	"M0026"	"1"	"2011"
"ELF_341"	"ELF_69"	"M0012"	"2"	"*"
"ELF_342"	"ELF_326"	"M0008"	"2"	"*"
"ELF_343"	"ELF_101"	"M0003"	"1"	"2009"
"ELF_344"	"ELF_78"	"ELF_45"	"1"	"2009"
"ELF_345"	"ELF_53"	"*"	"1"	"2009"
"ELF_346"	"ELF_144"	"M0008"	"1"	"2009"
"ELF_347"	"*"	"*"	"2"	"*"
"ELF_348"	"ELF_388"	"M0039"	"1"	"2011"
"ELF_349"	"F0034"	"M0054"	"2"	"*"
"ELF_35"	"*"	"*"	"1"	"*"
"ELF_350"	"F0031"	"M0034"	"2"	"2005"
"ELF_351"	"*"	"M0016"	"1"	"*"
"ELF_352"	"ELF_70"	"M0045"	"2"	"2003"
"ELF_353"	"ELF_672"	"M0013"	"2"	"2011"
"ELF_354"	"F0032"	"ELF_49"	"1"	"*"
"ELF_355"	"F0036"	"M0036"	"1"	"2009"
"ELF_356"	"F0003"	"ELF_62"	"2"	"*"
"ELF_357"	"F0027"	"M0048"	"1"	"2000"
"ELF_358"	"*"	"*"	"1"	"*"
"ELF_359"	"F0041"	"M0044"	"1"	"*"
"ELF_36"	"F0029"	"M0051"	"1"	"1995"
"ELF_360"	"ELF_335"	"ELF_40"	"2"	"2010"
"ELF_361"	"ELF_135"	"ELF_26"	"1"	"2011"
"ELF_362"	"ELF_335"	"ELF_40"	"2"	"2009"
"ELF_363"	"F0027"	"*"	"1"	"2009"
"ELF_364"	"ELF_157"	"M0022"	"2"	"2009"
"ELF_365"	"ELF_101"	"M0003"	"2"	"2009"
"ELF_366"	"ELF_357"	"ELF_45"	"2"	"2010"
"ELF_367"	"ELF_357"	"ELF_45"	"2"	"2010"
"ELF_368"	"ELF_139"	"M0012"	"1"	"2009"
"ELF_369"	"F0028"	"M0043"	"1"	"2011"
"ELF_37"	"*"	"*"	"1"	"*"
"ELF_370"	"F0020"	"M0041"	"2"	"2001"
"ELF_371"	"F0023"	"M0037"	"2"	"2011"
"ELF_372"	"ELF_135"	"ELF_179"	"1"	"2009"
"ELF_373"	"F0006"	"ELF_195"	"1"	"2011"
"ELF_378"	"F0028"	"ELF_43"	"2"	"*"
"ELF_379"	"*"	"*"	"2"	"*"
"ELF_38"	"F0026"	"M0053"	"2"	"*"
"ELF_380"	"F0028"	"M0043"	"1"	"2011"
"ELF_382"	"F0006"	"ELF_195"	"1"	"2011"
"ELF_383"	"F0034"	"M0037"	"1"	"2001"
"ELF_384"	"ELF_135"	"M0028"	"1"	"2011"
"ELF_385"	"F0030"	"M0047"	"2"	"*"
"ELF_386"	"F0010"	"M0033"	"1"	"2011"
"ELF_387"	"F0006"	"ELF_195"	"1"	"2011"
"ELF_388"	"*"	"*"	"1"	"*"
"ELF_389"	"ELF_39"	"ELF_130"	"2"	"2009"
"ELF_39"	"F0019"	"M0050"	"1"	"1998"
"ELF_390"	"*"	"*"	"1"	"*"
"ELF_391"	"ELF_139"	"M0012"	"2"	"*"
"ELF_392"	"F0004"	"M0057"	"2"	"2004"
"ELF_393"	"*"	"*"	"2"	"*"
"ELF_394"	"ELF_155"	"M0022"	"1"	"*"
"ELF_395"	"*"	"*"	"2"	"*"
"ELF_396"	"F0033"	"ELF_45"	"1"	"2011"
"ELF_398"	"ELF_321"	"M0030"	"2"	"2012"
"ELF_399"	"ELF_321"	"M0030"	"1"	"2012"
"ELF_40"	"F0032"	"*"	"2"	"1998"
"ELF_400"	"ELF_321"	"M0030"	"1"	"2012"
"ELF_402"	"ELF_321"	"M0030"	"2"	"2012"
"ELF_403"	"ELF_321"	"M0030"	"2"	"2012"
"ELF_404"	"ELF_321"	"M0030"	"2"	"2012"
"ELF_405"	"ELF_321"	"M0030"	"1"	"2012"
"ELF_406"	"*"	"M0036"	"2"	"2003"
"ELF_407"	"ELF_383"	"ELF_62"	"1"	"2012"
"ELF_408"	"ELF_383"	"ELF_62"	"1"	"2012"
"ELF_409"	"ELF_383"	"ELF_62"	"2"	"2012"
"ELF_41"	"F0019"	"M0050"	"1"	"*"
"ELF_410"	"ELF_383"	"ELF_62"	"2"	"2012"
"ELF_411"	"ELF_383"	"ELF_62"	"1"	"2012"
"ELF_412"	"ELF_383"	"*"	"1"	"2012"
"ELF_413"	"ELF_383"	"ELF_62"	"1"	"2012"
"ELF_414"	"ELF_383"	"ELF_62"	"2"	"2012"
"ELF_415"	"ELF_316"	"M0030"	"2"	"2012"
"ELF_416"	"ELF_316"	"M0030"	"2"	"2012"
"ELF_417"	"ELF_316"	"M0030"	"2"	"2012"
"ELF_418"	"ELF_316"	"M0030"	"2"	"2012"
"ELF_419"	"ELF_316"	"M0030"	"1"	"2012"
"ELF_42"	"*"	"*"	"1"	"*"
"ELF_420"	"ELF_316"	"M0030"	"1"	"2012"
"ELF_421"	"ELF_316"	"M0030"	"1"	"2012"
"ELF_422"	"ELF_316"	"M0030"	"2"	"2012"
"ELF_424"	"ELF_394"	"M0008"	"1"	"2012"
"ELF_425"	"ELF_394"	"M0008"	"2"	"2012"
"ELF_426"	"ELF_394"	"M0008"	"1"	"2012"
"ELF_427"	"ELF_394"	"M0008"	"2"	"2012"
"ELF_428"	"ELF_394"	"M0008"	"1"	"2012"
"ELF_429"	"ELF_394"	"M0008"	"1"	"2012"
"ELF_43"	"F0022"	"M0042"	"2"	"1997"
"ELF_430"	"ELF_394"	"M0008"	"1"	"2012"
"ELF_431"	"ELF_67"	"M0007"	"2"	"2012"
"ELF_432"	"ELF_67"	"M0007"	"1"	"2012"
