"ID"	"DAM"	"SIRE"	"SEX"	"COHORT"
"PCC_310"	"PCC_151"	"PCC_9"	"1"	"2010"
"PCC_311"	"*"	"*"	"2"	"*"
"PCC_312"	"PCC_88"	"*"	"1"	"2016"
"PCC_313"	"PCC_106"	"M0020"	"1"	"*"
"PCC_32"	"PCC_27"	"PCC_95"	"1"	"2010"
"PCC_34"	"*"	"*"	"1"	"*"
"PCC_37"	"F0013"	"M0022"	"1"	"*"
"PCC_38"	"*"	"*"	"1"	"*"
"PCC_39"	"*"	"*"	"1"	"2005"
"PCC_4"	"PCC_10"	"M0005"	"1"	"2011"
"PCC_43"	"*"	"*"	"1"	"*"
"PCC_5"	"*"	"*"	"1"	"*"
"PCC_52"	"*"	"*"	"1"	"*"
"PCC_53"	"*"	"*"	"2"	"*"
"PCC_54"	"F0009"	"M0017"	"1"	"*"
"PCC_55"	"PCC_105"	"PCC_89"	"1"	"2014"
"PCC_56"	"*"	"*"	"1"	"*"
"PCC_57"	"PCC_30"	"PCC_24"	"1"	"2000"
"PCC_58"	"*"	"*"	"1"	"2002"
"PCC_6"	"F0012"	"M0021"	"1"	"2013"
"PCC_60"	"PCC_58"	"M0001"	"1"	"2011"
"PCC_61"	"*"	"M0013"	"1"	"1989"
"PCC_62_P3"	"PCC_10"	"M0005"	"1"	"*"
"PCC_63"	"PCC_162"	"PCC_23"	"2"	"2011"
"PCC_64"	"*"	"*"	"2"	"2007"
"PCC_65"	"*"	"*"	"2"	"*"
"PCC_7"	"F0015"	"M0016"	"1"	"*"
"PCC_73"	"*"	"*"	"2"	"*"
"PCC_75"	"*"	"*"	"2"	"*"
"PCC_76"	"*"	"*"	"2"	"2005"
"PCC_77"	"F0006"	"M0014"	"3"	"*"
"PCC_78"	"*"	"*"	"2"	"*"
"PCC_79"	"F0016"	"M0026"	"2"	"*"
"PCC_8"	"*"	"*"	"2"	"2005"
"PCC_80"	"*"	"*"	"1"	"2005"
"PCC_81"	"*"	"*"	"2"	"*"
"PCC_83"	"PCC_39"	"M0003"	"2"	"2014"
"PCC_84"	"F0004"	"M0010"	"1"	"2005"
"PCC_85"	"F0005"	"PCC_24"	"2"	"2003"
"PCC_88"	"F0011"	"M0018"	"1"	"2007"
"PCC_89"	"F0015"	"M0025"	"2"	"*"
"PCC_9"	"*"	"*"	"2"	"2006"
"PCC_90"	"*"	"*"	"2"	"*"
"PCC_91"	"PCC_39"	"M0002"	"2"	"*"
"PCC_92"	"F0008"	"PCC_76"	"2"	"*"
"PCC_93"	"*"	"*"	"2"	"*"
"PCC_94"	"*"	"*"	"2"	"*"
"PCC_95"	"*"	"*"	"2"	"2004"
"PCC_96"	"*"	"PCC_63"	"2"	"2015"
"PCC_97"	"PCC_27"	"PCC_95"	"3"	"2015"
"PCC_98"	"*"	"*"	"1"	"*"
