# Variant positions
# Pop ID	Private	Num_Indv	Var	StdErr	P	Var	StdErr	Obs_Het	Var	StdErr	Obs_Hom	Var	StdErr	Exp_Het	Var	StdErr	Exp_Hom	Var	StdErr	Pi	Var	StdErr	Fis	Var	StdErr
ELF	8710	700.29331	3944.58819	0.27144	0.91098	0.01793	0.00058	0.12183	0.02637	0.00070	0.87817	0.02637	0.00070	0.12632	0.02758	0.00072	0.87368	0.02758	0.00072	0.12641	0.02762	0.00072	0.01730	0.01370	0.27144
PCC	4086	259.81551	628.68729	0.10837	0.91221	0.01791	0.00058	0.11960	0.02636	0.00070	0.88040	0.02636	0.00070	0.12435	0.02768	0.00072	0.87565	0.02768	0.00072	0.12457	0.02778	0.00072	0.01917	0.01480	0.10837
# All positions (variant and fixed)
# Pop ID	Private	Sites	Variant_Sites	Polymorphic_Sites	%Polymorphic_Loci	Num_Indv	Var	StdErr	P	Var	StdErr	Obs_Het	Var	StdErr	Obs_Hom	Var	StdErr	Exp_Het	Var	StdErr	Exp_Hom	Var	StdErr	Pi	Var	StdErr	Fis	Var	StdErr
ELF	8710	10040224	53537	49451	0.49253	740.83201	3171.33982	0.01777	0.99953	0.00014	0.00000	0.00065	0.00022	0.00000	0.99935	0.00022	0.00000	0.00067	0.00023	0.00000	0.99933	0.00023	0.00000	0.00067	0.00023	0.00000	0.00009	0.00007	0.01777
PCC	4086	10040224	53537	44827	0.44647	276.14066	538.25214	0.00732	0.99953	0.00014	0.00000	0.00064	0.00022	0.00000	0.99936	0.00022	0.00000	0.00066	0.00023	0.00000	0.99934	0.00023	0.00000	0.00066	0.00023	0.00000	0.00010	0.00008	0.00732
